2020,安江貴哉,新東工業,52.39,2020年11月08日(日)
2021,安江貴哉,新東工業東京,52.16,2022年03月05日(土)
2022,安江貴哉,新東工業東京,53.83,2022年07月03日(日)
2010,小堀勇氣,能美ＳＣ,52.60,2010年08月28日(土)
2011,小堀勇氣,能美ＳＣ,52.32,2011年08月28日(日)
2012,小堀勇氣,石　川,52.83,2012年09月15日(土)
2013,小堀勇氣,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,52.38,2013年04月14日(日)
2014,小堀勇氣,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,53.22,2014年04月13日(日)
2015,小堀勇氣,東京ＳＣ,53.18,2015年10月29日(木)
2016,小堀勇氣,ミズノ,52.92,2016年11月21日(月)
2017,小堀勇氣,石　川,51.69,2017年09月15日(金)
2018,小堀勇氣,ミズノ,51.77,2018年08月22日(水)
2019,小堀勇氣,ミズノ,51.97,2019年04月08日(月)
2020,小堀勇氣,ミズノ,51.66,2021年03月04日(木)
2013,幌村尚,ナイスＳＰ,56.27,2014年01月18日(土)
2014,幌村尚,兵  庫,53.69,2014年09月12日(金)
2015,幌村尚,ナイスＳＰ,53.08,2016年02月20日(土)
2016,幌村尚,ナイスＳＰ,52.27,2017年02月18日(土)
2017,幌村尚,早稲田大,52.03,2017年09月02日(土)
2018,幌村尚,早稲田大,52.04,2018年04月08日(日)
2019,幌村尚,早稲田大,52.11,2019年09月07日(土)
2020,幌村尚,東京ドーム,52.08,2021年02月07日(日)
2021,幌村尚,あいおいﾆｯｾｲ,52.57,2021年04月08日(木)
2022,幌村尚,あいおいニッセイ,52.49,2022年07月18日(月)
2008,瀬戸大也,JSS毛呂山,56.33,2008年08月28日(木)
2009,瀬戸大也,JSS毛呂山,55.72,2009年04月19日(日)
2010,瀬戸大也,埼  玉,53.77,2010年09月10日(金)
2012,瀬戸大也,ＪＳＳ毛呂山,53.53,2012年08月25日(土)
2013,瀬戸大也,早稲田大,52.88,2013年08月11日(日)
2014,瀬戸大也,早稲田大,52.45,2014年07月06日(日)
2015,瀬戸大也,早稲田大,52.72,2015年06月11日(木)
2016,瀬戸大也,早稲田大,52.15,2016年06月05日(日)
2017,瀬戸大也,ＡＮＡ,52.51,2017年04月16日(日)
2018,瀬戸大也,ＡＮＡ,52.22,2019年03月17日(日)
2019,瀬戸大也,ＡＮＡ,51.89,2020年01月26日(日)
2020,瀬戸大也,A-1町田,53.12,2021年03月04日(木)
2009,梅本雅之,多摩ISC,54.73,2009年08月28日(金)
2010,梅本雅之,慶応,55.10,2010年07月27日(火)
2011,梅本雅之,慶応,53.96,2011年06月26日(日)
2012,梅本雅之,神奈川,53.23,2012年09月15日(土)
2013,梅本雅之,慶應義塾大,52.44,2013年05月26日(日)
2014,梅本雅之,慶應義塾大,52.01,2015年02月21日(土)
2015,梅本雅之,慶應義塾大,52.29,2015年07月09日(木)
2016,梅本雅之,Ｋ Ｅ Ｉ Ｏ,52.64,2016年04月10日(日)
2017,梅本雅之,神奈川,52.26,2017年09月15日(金)
2018,梅本雅之,ﾚｯﾄﾞｸｲｰﾝ,52.21,2018年05月27日(日)
2019,梅本雅之,ﾚｯﾄﾞｸｲｰﾝ,52.17,2019年04月08日(月)
2020,梅本雅之,Ｋ Ｅ Ｉ Ｏ,52.96,2020年12月06日(日)
2021,梅本雅之,Ｋ Ｅ Ｉ Ｏ,53.32,2021年04月08日(木)
2022,梅本雅之,慶應義塾大OB,55.04,2022年07月03日(日)
2011,矢島優也,さい大宮南,56.72,2011年08月23日(火)
2012,矢島優也,スウィン大宮,55.68,2012年08月28日(火)
2013,矢島優也,スウィン大宮,54.09,2013年08月30日(金)
2014,矢島優也,春日部共栄,53.37,2014年08月20日(水)
2015,矢島優也,明治大,53.67,2015年09月05日(土)
2016,矢島優也,スウィン大宮,53.04,2016年04月09日(土)
2017,矢島優也,スウィン大宮,52.51,2018年02月17日(土)
2018,矢島優也,明治大,52.24,2018年09月08日(土)
2019,矢島優也,全日空商事,52.70,2019年04月07日(日)
2020,矢島優也,全日空商事,53.07,2021年02月20日(土)
2021,矢島優也,全日空商事,53.06,2021年06月06日(日)
2011,和田有真,山　口,55.89,2011年09月09日(金)
