2020,秀野由光,神奈川大,28.93,2021年02月06日(土)
2021,秀野由光,神奈川大学,28.81,2021年04月10日(土)
2022,秀野由光,ＪＡＰＡＮ,29.17,2022年06月04日(土)
2019,平井瑞希,愛　知,29.43,2019年11月10日(日)
2020,平井瑞希,コパン鳴海,29.21,2021年02月06日(土)
2021,平井瑞希,ATSC.YW,28.81,2022年03月04日(金)
2022,平井瑞希,ATSC.YW,29.11,2022年04月30日(土)
2013,秀野加奈,五百木ＳＣ,31.07,2013年10月05日(土)
2014,秀野加奈,五百木ＳＣ,30.18,2014年10月04日(土)
2015,秀野加奈,新田高,29.41,2015年10月28日(水)
2016,秀野加奈,五百木ＳＣ,29.49,2016年11月06日(日)
2017,秀野加奈,五百木ＳＣ,29.48,2017年05月21日(日)
2018,秀野加奈,中京大,29.04,2018年05月26日(土)
2019,秀野加奈,中京大,29.00,2019年04月05日(金)
2020,秀野加奈,中京大,28.36,2021年02月06日(土)
2021,秀野加奈,中京大学,28.86,2021年04月10日(土)
2013,酒井夏海,アテナＡＭＣ,29.95,2013年08月27日(火)
2014,酒井夏海,アテナＡＭＣ,29.15,2014年04月12日(土)
2015,酒井夏海,ＪＡＰＡＮ,28.43,2016年02月21日(日)
2016,酒井夏海,ＪＡＰＡＮ,28.65,2016年07月10日(日)
2017,酒井夏海,ＪＡＰＡＮ,27.93,2017年08月27日(日)
2018,酒井夏海,ＪＡＰＡＮ,27.82,2018年04月03日(火)
2019,酒井夏海,武南,28.08,2019年05月12日(日)
2020,酒井夏海,スウィン美園,28.18,2021年02月06日(土)
2021,酒井夏海,東洋大,28.87,2021年10月24日(日)
2014,伊与田萌々,長根台小,30.39,2014年10月04日(土)
2015,伊与田萌々,長根台小,29.72,2015年10月10日(土)
2016,伊与田萌々,豊川高,29.42,2017年01月28日(土)
2017,伊与田萌々,豊川高,29.63,2017年04月15日(土)
2018,伊与田萌々,豊川高,29.54,2019年03月10日(日)
2019,伊与田萌々,中京大,29.73,2019年04月05日(金)
2020,伊与田萌々,中京大,28.26,2021年02月06日(土)
2008,諸貫瑛美,ｽｳｨﾝ館林,29.97,2008年08月30日(土)
2009,諸貫瑛美,ｽｳｨﾝ館林,29.60,2009年06月07日(日)
2010,諸貫瑛美,スウィン館林,29.97,2010年04月18日(日)
2011,諸貫瑛美,スウィン館林,29.64,2011年04月11日(月)
2011,諸貫瑛美,筑波大,30.29,2012年01月14日(土)
2012,諸貫瑛美,筑波大,29.10,2012年05月27日(日)
2012,諸貫瑛美,筑波大,29.27,2012年06月03日(日)
2013,諸貫瑛美,筑波大,28.71,2013年04月13日(土)
2014,諸貫瑛美,筑波大,28.57,2014年04月12日(土)
2015,諸貫瑛美,スウィン館林,28.11,2016年02月21日(日)
2016,諸貫瑛美,スウィン館林,28.14,2016年05月22日(日)
2017,諸貫瑛美,スウィン館林,27.95,2017年08月06日(日)
2018,諸貫瑛美,ミキハウス,28.12,2018年04月03日(火)
2019,諸貫瑛美,ミキハウス,28.27,2019年08月02日(金)
2020,諸貫瑛美,ミキハウス,28.41,2021年02月06日(土)
2021,諸貫瑛美,ミキハウス,29.31,2021年07月03日(土)
2013,片桐珠実,東京ＳＣ,31.01,2014年01月18日(土)
2015,片桐珠実,東京ＳＣ,29.81,2016年03月18日(金)
2016,片桐珠実,淑徳巣鴨,29.11,2016年09月11日(日)
2017,片桐珠実,東京ＳＣ,29.02,2018年02月18日(日)
2018,片桐珠実,東京ＳＣ,28.50,2018年05月26日(土)
2019,片桐珠実,東京ＳＣ,28.86,2019年11月24日(日)
2020,片桐珠実,筑波大,28.95,2021年02月06日(土)
2021,片桐珠実,筑波大学,29.14,2022年03月04日(金)
2022,片桐珠実,筑波大学,29.15,2022年04月30日(土)
2009,竹村幸,近畿大,28.26,2009年06月07日(日)
2010,竹村幸,イ ト マ ン,28.40,2010年06月06日(日)
2011,竹村幸,イ ト マ ン,28.53,2011年05月22日(日)
2012,竹村幸,イ ト マ ン,28.63,2012年05月27日(日)
2013,竹村幸,イ ト マ ン,28.81,2013年05月26日(日)
2014,竹村幸,イ ト マ ン,28.27,2014年09月23日(火)
2015,竹村幸,イ ト マ ン,28.33,2015年10月28日(水)
2016,竹村幸,イ ト マ ン,28.62,2017年02月11日(土)
2017,竹村幸,イ ト マ ン,28.15,2017年04月15日(土)
2018,竹村幸,イ ト マ ン,28.44,2018年04月03日(火)
2019,竹村幸,ＩＴＯＭＡＮ,28.40,2019年11月24日(日)
2010,竹内澪乃,トピーアヤセ,30.56,2010年08月27日(金)
2011,竹内澪乃,トピーアヤセ,30.37,2011年08月30日(火)
2012,竹内澪乃,トピーアヤセ,29.25,2012年08月30日(木)
2013,竹内澪乃,トピーアヤセ,29.24,2013年04月13日(土)
2014,竹内澪乃,トピーアヤセ,29.73,2015年01月25日(日)
2015,竹内澪乃,トピーアヤセ,29.70,2016年02月21日(日)
2016,竹内澪乃,トピーアヤセ,29.27,2016年05月22日(日)
2017,竹内澪乃,日本体育大,29.26,2017年04月15日(土)
2018,竹内澪乃,日本体育大,29.33,2018年05月26日(土)
2019,竹内澪乃,日本体育大,28.78,2019年08月02日(金)
2011,古林毬菜,山形ＳＣ,31.21,2011年08月30日(火)
2014,古林毬菜,山形ＳＣ,30.96,2015年03月19日(木)
2015,古林毬菜,日大山形,30.84,2015年06月03日(水)
2016,古林毬菜,神奈川大,30.49,2016年06月05日(日)
2017,古林毬菜,神奈川大,30.07,2017年06月10日(土)
2018,古林毬菜,神奈川大,29.54,2018年06月09日(土)
2019,古林毬菜,神奈川大,28.81,2019年04月05日(金)
2020,古林毬菜,京急電鉄,29.22,2021年02月21日(日)
2022,古林毬菜,神奈川大学AD,29.66,2022年07月03日(日)
2015,池江璃花子,小岩四,29.77,2015年06月21日(日)
2016,池江璃花子,淑徳巣鴨,29.13,2016年09月17日(土)
2018,池江璃花子,ルネサンス,28.20,2018年11月25日(日)
2021,池江璃花子,ルネサンス,29.37,2021年11月20日(土)
2009,森万柚子,本巣SS,31.17,2010年01月24日(日)
2010,森万柚子,大垣商業,31.16,2010年06月13日(日)
2011,森万柚子,本巣ＳＳ,30.44,2012年01月29日(日)
2012,森万柚子,大垣商業,30.24,2012年06月10日(日)
2013,森万柚子,中京大,29.45,2013年05月26日(日)
2014,森万柚子,中京大,29.09,2014年04月12日(土)
2015,森万柚子,中京大,28.56,2015年04月07日(火)
2016,森万柚子,中京大,28.78,2016年05月22日(日)
2017,森万柚子,愛競対,28.71,2018年03月11日(日)
2018,森万柚子,ＪＦＥ京浜,28.77,2018年04月03日(火)
2019,森万柚子,ＪＦＥ京浜,29.54,2019年04月05日(金)
2020,森万柚子,ＪＦＥ京浜,29.87,2021年02月06日(土)
2021,森万柚子,ＪＦＥ京浜,29.74,2022年03月04日(金)
2022,森万柚子,ＪＦＥ京浜,30.49,2022年08月06日(土)
2009,寺本瑠美,名鉄S新瀬戸,30.81,2009年07月04日(土)
2010,寺本瑠美,名鉄Ｓ新瀬戸,30.37,2010年06月12日(土)
2011,寺本瑠美,名鉄Ｓ新瀬戸,30.46,2011年06月11日(土)
2012,寺本瑠美,名鉄Ｓ新瀬戸,30.57,2012年04月14日(土)
2013,寺本瑠美,名鉄Ｓ新瀬戸,30.61,2013年11月30日(土)
2014,寺本瑠美,名鉄Ｓ新瀬戸,30.19,2014年07月05日(土)
2015,寺本瑠美,神奈川大,30.34,2016年01月31日(日)
2016,寺本瑠美,神奈川大,29.61,2017年01月29日(日)
