2016,ATSC.YW,2:01.83,2017年02月19日(日)
2017,ATSC.YW,1:59.14,2018年02月18日(日)
2018,神奈川,1:57.98,2018年09月16日(日)
2019,ATSC.YW,1:55.31,2019年08月25日(日)
2020,ATSC.YW,1:55.32,2021年02月06日(土)
2021,JPN,1:53.73,2021年07月28日(水)
2022,ATSC.YW,1:53.53,2022年05月15日(日)
