宮下純一,2008,ﾎﾘﾌﾟﾛ,54.01,2008年06月06日(金)
森田智己,2008,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,54.03,2008年04月16日(水)
入江陵介,2008,近畿大,53.93,2008年09月07日(日)
入江陵介,2009,大    阪,52.37,2009年09月12日(土)
入江陵介,2010,大　阪,53.09,2010年09月12日(日)
入江陵介,2011,近畿大学,52.83,2011年09月03日(土)
入江陵介,2012,ＪＡＰＡＮ,52.91,2012年04月04日(水)
入江陵介,2013,ＪＡＰＡＮ,50.71,2013年08月10日(土)
入江陵介,2014,ＪＡＰＡＮ,52.34,2014年09月21日(日)
入江陵介,2015,ＪＡＰＡＮ,52.99,2015年04月08日(水)
入江陵介,2016,ＪＡＰＡＮ,53.21,2016年08月07日(日)
入江陵介,2017,ｲﾄﾏﾝﾄｳｼﾝ,53.02,2017年07月24日(月)
入江陵介,2018,ｲﾄﾏﾝﾄｳｼﾝ,52.53,2018年08月19日(日)
入江陵介,2019,ｲﾄﾏﾝﾄｳｼﾝ,52.59,2020年01月24日(金)
入江陵介,2020,ｲﾄﾏﾝﾄｳｼﾝ,53.04,2020年12月04日(金)
入江陵介,2021,イトマン東進,52.94,2022年03月03日(木)
入江陵介,2022,JPN,52.83,2022年06月21日(火)
中野高,2008,ﾐｽﾞﾉ,54.67,2009年02月01日(日)
中野高,2009,ﾐｽﾞﾉ,54.11,2009年04月17日(金)
中野高,2010,TBSﾃﾚﾋﾞ,54.90,2010年04月14日(水)
中野高,2011,TBSﾃﾚﾋﾞ,55.95,2011年04月09日(土)
中野高,2012,林水泳教室,55.81,2012年04月03日(火)
